City_ID,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
2,2,trofors,NO,65.5333,13.4063,53.47,88,100,4.72,light rain
8,8,yar-sale,RU,66.8333,70.8333,56.88,63,100,11.1,overcast clouds
11,11,talnakh,RU,69.4865,88.3972,58.21,63,100,3.42,overcast clouds
16,16,bredasdorp,ZA,-34.5322,20.0403,58.57,68,85,8.72,overcast clouds
17,17,akureyri,IS,65.6835,-18.0878,53.53,66,40,17.27,scattered clouds
20,20,cape town,ZA,-33.9258,18.4232,64.38,71,75,5.75,broken clouds
21,21,aberdeen,GB,57.1437,-2.0981,64.65,82,75,6.91,broken clouds
23,23,rio grande,BR,-32.035,-52.0986,59.11,93,99,14.56,overcast clouds
32,32,nuuk,GL,64.1835,-51.7216,54.21,62,40,8.05,scattered clouds
36,36,nikolskoye,RU,59.7035,30.7861,60.8,88,74,6.62,broken clouds
37,37,kodiak,US,57.79,-152.4072,54.91,88,100,3.44,overcast clouds
42,42,port elizabeth,ZA,-33.918,25.5701,60.1,77,0,18.41,clear sky
44,44,mar del plata,AR,-38.0023,-57.5575,57.09,88,100,23.0,overcast clouds
47,47,college,US,64.8569,-147.8028,58.21,53,40,5.75,smoke
50,50,hermanus,ZA,-34.4187,19.2345,58.8,80,35,3.74,scattered clouds
51,51,pacific grove,US,36.6177,-121.9166,60.48,95,100,11.99,mist
57,57,thompson,CA,55.7435,-97.8558,64.56,100,100,5.75,overcast clouds
61,61,akdagmadeni,TR,39.6603,35.8836,60.8,72,12,16.15,few clouds
62,62,port alfred,ZA,-33.5906,26.891,60.19,64,64,7.0,broken clouds
76,76,vestmannaeyjar,IS,63.4427,-20.2734,52.79,76,20,11.5,few clouds
83,83,grindavik,IS,63.8424,-22.4338,52.27,66,75,11.5,broken clouds
85,85,sept-iles,CA,50.2001,-66.3821,63.12,69,75,13.8,broken clouds
90,90,severo-kurilsk,RU,50.6789,156.125,52.5,97,84,7.54,broken clouds
91,91,severomuysk,RU,56.1481,113.4267,55.51,76,95,3.58,overcast clouds
93,93,skjervoy,NO,70.0311,20.9714,57.2,94,100,6.85,overcast clouds
95,95,diego de almagro,CL,-26.3667,-70.05,51.3,56,21,8.01,few clouds
99,99,fairbanks,US,64.8378,-147.7164,53.56,65,40,5.75,smoke
102,102,kibaya,TZ,-5.3,36.5667,63.91,61,86,8.48,overcast clouds
103,103,alekseyevsk,RU,57.8406,108.3492,55.22,91,100,2.48,overcast clouds
106,106,mount isa,AU,-20.7333,139.5,51.57,35,15,8.05,few clouds
108,108,sitka,US,57.0531,-135.33,55.29,82,75,3.44,broken clouds
109,109,honningsvag,NO,70.9821,25.9704,60.55,88,76,2.3,broken clouds
110,110,yellowknife,CA,62.456,-114.3525,57.72,94,75,3.44,light intensity shower rain
111,111,qujing,CN,25.4833,103.7833,62.2,92,57,3.27,broken clouds
113,113,yichun,CN,47.7,128.9,63.37,95,99,7.36,overcast clouds
120,120,busselton,AU,-33.65,115.3333,59.63,73,83,20.85,broken clouds
124,124,sisimiut,GL,66.9395,-53.6735,52.41,54,0,16.11,clear sky
126,126,provideniya,RU,64.3833,-173.3,51.58,61,100,6.13,overcast clouds
130,130,chuy,UY,-33.6971,-53.4616,60.15,82,83,10.58,broken clouds
135,135,terrace bay,CA,48.7834,-87.1,55.2,66,3,5.21,clear sky
138,138,narsaq,GL,60.9167,-46.05,59.22,78,100,9.93,light rain
142,142,zhigansk,RU,66.7697,123.3711,58.95,98,88,8.57,light rain
144,144,viedma,AR,-40.8135,-62.9967,51.98,63,100,19.95,overcast clouds
148,148,punta alta,AR,-38.8759,-62.0736,53.82,60,100,11.52,overcast clouds
